#{"t_start": 1523751739.3729224, "env_id": null}
r,l,t
-1834.360278,84,2.362787
-1227.789929,63,3.754485
-1041.930458,65,4.927965
-1479.375666,66,5.059208
-1160.30931,61,6.282955
-800.753216,56,6.396834
-1478.72136,77,7.6072
-819.938065,58,8.786663
-1074.664297,67,8.915589
-1435.395358,76,10.408118
-815.688361,62,11.666699
-1284.559867,60,11.78088
-1130.17698,66,12.943204
-1014.240811,59,14.104935
-914.917827,61,14.22358
-867.102352,59,15.688762
-819.688765,64,16.948641
-942.424889,62,17.069004
-1034.132266,76,18.264249
-1381.741403,65,19.528599
-588.128411,65,19.677181
-1023.603996,62,21.033982
-1131.245223,70,22.59088
-903.836647,58,22.776045
-1017.662129,63,24.248969
-966.768434,68,24.381817
-749.298276,61,25.650239
-914.216354,54,26.857353
-1028.637678,66,26.987159
-1119.636447,71,28.207212
-972.469954,66,29.648032
-939.466976,75,29.784044
-800.687319,67,30.99145
-740.079058,60,32.27651
-833.83025,60,32.397675
-909.021373,69,33.659521
-1051.432787,71,34.869987
-1188.501167,68,34.999753
-1241.752152,67,36.186619
-754.527358,63,37.373589
-1056.698978,55,37.485114
-846.481805,65,38.828103
-1280.535625,75,40.052451
-1096.804574,67,40.180436
-1024.163094,60,41.353391
-1017.226388,64,41.474149
-793.639536,63,42.671934
-1150.912227,65,43.967643
-1112.267234,69,44.119576
-1170.13115,65,45.343674
-1161.335254,60,46.513813
-1107.381204,61,46.624357
-978.544578,55,47.813941
-1451.436118,73,49.143731
-1106.740089,60,49.302596
-1140.27839,59,50.515058
-1002.129142,58,50.636389
-1238.598805,65,51.881856
-1100.317945,56,53.105896
-1514.230746,68,53.235233
-1343.737596,72,54.436476
-1054.625817,53,54.537057
-1221.536242,67,55.964439
-1226.179912,65,57.149596
-1117.051177,68,57.281508
-1150.387165,62,58.468488
-1309.447708,65,60.081144
-990.234916,70,60.264558
-1408.770428,59,61.747703
-1008.34045,56,63.186719
-904.253375,58,63.294144
-1125.304395,56,64.761993
-1114.372592,56,64.904782
-1440.696651,61,66.300826
-1099.864395,66,67.577203
-977.090151,53,67.701225
-1679.028606,74,69.011003
-1238.168791,64,69.14236
-1202.380574,59,70.395703
-995.405173,56,71.624736
-1399.130516,59,71.758888
-1493.755369,62,73.007806
-800.052291,54,73.11278
-973.927678,54,74.278786
-1377.047366,71,75.491323
-1203.71842,75,75.633836
-1083.029772,63,76.80334
-1044.168762,58,77.974706
-1442.568068,73,78.120704
-1068.411246,75,79.329173
-865.629059,58,80.500942
-1005.940245,71,80.651
-1056.32732,63,81.828243
-1246.001618,58,83.237307
-984.85004,66,83.360109
-1214.678852,69,84.554271
-1002.467776,64,85.742879
-1498.423845,74,85.890496
-1318.821147,70,87.093965
-1834.712879,68,88.348686
-942.660558,70,88.481368
-695.729736,68,90.036592
-1439.48654,71,91.447
-552.813894,67,91.60221
-1683.534206,70,92.951643
-1235.694814,69,94.145965
-776.945572,69,95.328267
-1261.290512,68,95.793217
-616.570208,67,97.39525
-844.023116,71,98.661802
