AI_return,rollout/Q_mean,rollout/actions_std,obs_rms_mean,reference_perturbed_action_mean,rollout/actions_mean,reference_Q_std,train/loss_critic,rollout/episode_steps,rollout/return,reference_Q_mean,reference_actor_Q_mean,total/steps,total/steps_per_second,total/episodes,total/epochs,param_noise_stddev,rollout/episodes,reference_actor_Q_std,AI_success_rate,reference_action_mean,total/duration,reference_perturbed_action_std,train/param_noise_distance,AI_distance,obs_rms_std,train/loss_actor,rollout/return_history,reference_action_std
-1066.698168473908,-61.61076736450195,0.4244672358036041,0.45143792033195496,0.960417628288269,0.8461359739303589,153.8467254638672,135.82504272460938,64.83333333333333,-1066.698168473908,-123.45205688476562,-122.5022201538086,2000,72.65063842534208,30.0,1,0.11686267184170265,30.0,154.48971557617188,,0.9999932646751404,27.52900791168213,0.11691351979970932,0.27621546004666014,10.735350737057193,0.2236987203359604,125.65522766113281,-1066.698168473908,7.513593573094113e-06
-1067.434350711054,-121.64114379882812,0.5636647343635559,0.434814989566803,0.4631345868110657,0.7740452885627747,255.9879608154297,47.45389175415039,64.5,-1067.434350711054,-234.4364013671875,-232.54254150390625,4000,74.38651710326059,62.0,2,0.052718847660376544,62.0,256.27056884765625,,0.43728122115135193,53.77318572998047,0.8691865801811218,0.202328871935606,10.282926730803407,0.23413394391536713,241.2969207763672,-1067.434350711054,0.8985358476638794
-1098.9585866352434,-182.66558837890625,0.6903851628303528,0.42204317450523376,0.28862395882606506,0.6750702261924744,305.7919921875,101.01437377929688,63.97849462365591,-1098.9585866352434,-338.92413330078125,-336.62237548828125,6000,73.93104106333122,93.0,3,0.03612049597631191,93.0,305.11505126953125,,0.14755788445472717,81.15670919418335,0.929526686668396,0.17818186327815055,10.274703106834918,0.237086221575737,367.24273681640625,-1098.9585866352434,0.9829387664794922
-1098.8190342736214,-191.9343719482422,0.8297158479690552,0.41949746012687683,-0.10326698422431946,0.48730701208114624,262.4859313964844,66.90113830566406,65.12295081967213,-1098.8190342736214,-425.9080810546875,-419.4100341796875,8000,72.33169138800079,122.0,4,0.02028215165170889,122.0,262.0360107421875,,-0.04549263417720795,110.60158896446228,0.9723448753356934,0.2101606422662735,10.639834236086138,0.24241505563259125,435.4507141113281,-1098.8627831646202,0.9898587465286255
-1079.2161106430976,-199.91775512695312,0.8993335962295532,0.4193197786808014,-0.09999760240316391,0.34977447986602783,224.25279235839844,371.1790771484375,65.93377483443709,-1079.2161106430976,-508.29144287109375,-496.9153747558594,10000,72.73882962826615,151.0,5,0.02152991267583435,151.0,230.29861450195312,,-0.002814199775457382,137.47815370559692,0.9733909964561462,0.19701769784092904,10.706860096919392,0.24927088618278503,503.4602355957031,-1098.1872339338215,0.9709043502807617
-1089.453647966054,-224.0071258544922,0.9296757578849792,0.4186764359474182,0.08134958148002625,0.26897549629211426,208.11911010742188,253.9040985107422,66.55,-1089.453647966054,-533.23681640625,-521.8310546875,12000,73.55499602750994,180.0,6,0.0211056883401964,180.0,214.15809631347656,,0.07389236241579056,163.14323496818542,0.9736508131027222,0.19487642183899878,10.609511494011384,0.25143370032310486,503.4471435546875,-1087.1221419046235,0.9839502573013306
-1070.2768605812826,-249.2444610595703,0.9441315531730652,0.4231376647949219,-0.0007004067301750183,0.2276715636253357,213.00387573242188,79.69364929199219,66.88995215311004,-1070.2768605812826,-526.055419921875,-514.348876953125,14000,73.66471814300606,209.0,7,0.024748079434129402,209.0,219.09938049316406,,-0.003703884780406952,190.0502758026123,0.9820913672447205,0.18821688815951348,10.707603489161547,0.253091424703598,506.58282470703125,-1031.8003310714098,0.988253116607666
-1040.212097522577,-276.6114807128906,0.954100489616394,0.4274733066558838,0.05419977009296417,0.19602282345294952,217.37147521972656,78.67761993408203,67.1218487394958,-1040.212097522577,-524.462890625,-514.400634765625,16000,74.02899805644502,238.0,8,0.024748079434129402,238.0,223.3563232421875,,0.036067068576812744,216.13152170181274,0.9800150394439697,0.18947629816830158,10.9240970255691,0.2542010545730591,543.3007202148438,-977.8572993673598,0.9915845394134521
-1036.1589979342955,-306.2391357421875,0.9600525498390198,0.42959076166152954,0.32717370986938477,0.1747821867465973,212.0152587890625,134.3247833251953,67.38202247191012,-1036.1589979342955,-530.4708251953125,-521.9895629882812,18000,73.99503449446466,267.0,9,0.0191067043241956,267.0,216.9058837890625,,0.28746265172958374,243.25956630706787,0.9236279726028442,0.21965447604656219,11.031617700561055,0.2535898685455322,570.52490234375,-956.8627147231919,0.948023796081543
-1021.1832705895156,-327.9512634277344,0.9589375853538513,0.43299996852874756,0.42570433020591736,0.1810765415430069,206.01551818847656,95.85610961914062,67.67457627118644,-1021.1832705895156,-542.9398803710938,-537.7423095703125,20000,73.62842572236399,295.0,10,0.016294603698363365,295.0,206.7305145263672,,0.4007079601287842,271.634220123291,0.890325665473938,0.18367111593484878,11.067367735909365,0.2529645562171936,584.590576171875,-900.198319066883,0.907992959022522
