#{"env_id": null, "t_start": 1524008763.8381922}
r,l,t
-2698.646649,110,4.129593
-1336.441555,84,4.351317
-1742.733058,48,5.907697
-20989.268191,334,10.370732
-8060.866491,235,14.006572
-2232.489639,124,15.301965
-1585.370504,60,15.416208
-848.791544,120,17.879654
-1674.869427,76,18.042114
-3139.691554,124,20.517304
-1617.646714,81,20.686621
-1526.425336,76,21.912465
-15607.354453,272,25.966523
-1271.934671,96,27.262191
-8984.971217,251,30.186369
-1112.370258,86,31.394886
-1074.096997,76,32.596534
-1693.202966,92,33.833396
-5898.618289,214,36.421611
-488.465095,121,37.922638
-834.498849,94,39.423854
-1379.059409,66,40.68748
-2326.561476,96,41.960763
-959.593454,67,43.293902
-1753.668765,78,43.504611
-1159.01028,85,44.900347
-924.423875,77,46.154752
-1874.440526,74,47.418778
-1448.907253,90,48.919297
-1299.80261,63,49.204337
-1246.577924,68,50.610893
-1165.450274,95,51.88566
-1012.694582,76,53.114953
-912.249709,100,54.454777
-1128.249518,63,54.645292
-1555.065112,70,55.950698
-1114.648528,61,57.430987
-1105.832259,82,57.594295
-1087.515668,91,58.914432
-1053.479063,93,60.145902
-1333.332892,76,61.360054
-1215.314778,75,62.725173
-1076.961428,75,62.99793
-1311.21073,65,64.417949
-1380.594285,63,65.651345
-1372.231533,63,65.771156
-1075.480836,83,67.136729
-1042.595467,98,68.450338
-1318.877474,63,69.670429
-1517.311875,76,71.24625
-1305.696579,64,71.410396
-1109.800935,115,72.881655
-1809.549828,103,74.22242
-477.520553,107,75.524886
-1226.327563,79,76.76039
-1214.870485,80,77.972426
-1313.546038,96,79.515597
-341.878009,113,81.140569
-1791.824357,97,82.719773
-1565.756794,77,84.255154
-1114.32896,79,86.050473
-1307.613229,110,87.752449
-1360.086136,100,89.199033
-549.071522,99,90.606285
-1605.45586,67,90.757036
-1101.955047,62,92.095553
-980.293014,100,93.418837
-1354.995316,71,94.624572
-945.11864,62,94.740512
-1169.992207,69,95.93442
-1020.002308,62,97.104004
-1153.239073,64,97.226052
-1092.552451,71,98.414144
-705.166533,98,99.651514
-1108.763989,83,100.852252
-1499.349501,90,102.075824
-1472.74056,87,103.74921
-925.705358,82,103.932722
-1314.329115,69,105.103393
-1214.64934,86,106.329745
-1053.306791,78,107.543064
-1052.632037,73,107.684551
-948.833926,115,110.079169
-699.066665,107,111.564387
-969.757531,81,113.11813
233.695859,115,115.095778
-1205.509974,62,115.254387
-921.486036,90,116.828924
-838.639489,88,118.146993
-1266.417979,71,119.361024
-1414.155772,60,119.474472
-989.176488,79,120.851262
-1189.058574,63,122.217755
-1667.582106,93,123.454194
-1133.961382,75,123.596322
-1102.270522,61,124.771863
-1250.05739,77,125.976694
-1271.17725,70,127.169427
-1337.376749,66,127.296689
-935.961597,65,128.485656
-778.645491,85,129.721389
-948.526665,71,129.858653
-987.411581,89,131.099272
-1233.871212,65,132.261505
-947.538313,68,133.431995
-1439.451066,68,133.559922
109.329495,103,134.807715
-487.108288,88,136.160832
-1520.315601,69,137.573064
-1289.352962,84,138.847812
-1300.477465,99,140.385831
-1580.423196,88,141.59359
-1446.402416,83,141.752059
-1146.173604,81,142.975635
